Joint2 X:0.113709, Y:0.024297, Z:1.351243
Joint3 X:0.257602, Y:0.125237, Z:1.309690
Joint4 X:-0.060248, Y:-0.001693, Z:1.345949
Joint5 X:-0.293503, Y:-0.142252, Z:1.365816
Joint6 X:-0.458085, Y:-0.309553, Z:1.314150
Joint7 X:-0.504748, Y:-0.342866, Z:1.287081
Joint8 X:0.214720, Y:-0.166894, Z:1.416840
Joint9 X:0.181167, Y:-0.428212, Z:1.426680
Joint10 X:0.199434, Y:-0.662954, Z:1.390263
Joint11 X:0.171385, Y:-0.720787, Z:1.352244
Joint12 X:-0.125319, Y:-0.514262, Z:1.408153
Joint13 X:0.215711, Y:-0.777552, Z:1.219685
Joint14 X:0.579882, Y:-1.069545, Z:1.042175
Joint15 X:0.610169, Y:-1.081254, Z:0.910187
Joint16 X:0.026616, Y:-0.575305, Z:1.435539
Joint17 X:0.329507, Y:-0.894875, Z:1.306885
Joint18 X:0.655542, Y:-1.249481, Z:1.196474
Joint19 X:0.686209, Y:-1.267900, Z:1.067069
Joint20 X:0.095124, Y:-0.044250, Z:1.365165
Joint21 X:-0.534172, Y:-0.386556, Z:1.275590
Joint22 X:-0.476761, Y:-0.352170, Z:1.261810
Joint23 X:0.184338, Y:-0.762110, Z:1.337004
Joint24 X:0.205090, Y:-0.736521, Z:1.339735
Joint0 X:-0.087571, Y:-0.571735, Z:1.444119
Joint1 X:0.025641, Y:-0.281389, Z:1.402478
Joint2 X:0.132865, Y:0.000236, Z:1.343479
Joint3 X:0.304216, Y:0.060051, Z:1.302704
Joint4 X:-0.045937, Y:-0.018849, Z:1.331817
Joint5 X:-0.295877, Y:-0.097345, Z:1.350110
Joint6 X:-0.497139, Y:-0.220959, Z:1.308610
Joint7 X:-0.541937, Y:-0.242254, Z:1.288190
Joint8 X:0.204775, Y:-0.210008, Z:1.396835
Joint9 X:0.199827, Y:-0.458020, Z:1.425441
Joint10 X:0.223788, Y:-0.691775, Z:1.387499
Joint11 X:0.238379, Y:-0.720268, Z:1.369727
Joint12 X:-0.159757, Y:-0.523246, Z:1.393584
Joint13 X:0.222789, Y:-0.740037, Z:1.224904
Joint14 X:0.630930, Y:-0.982174, Z:1.068312
Joint15 X:0.661468, Y:-0.993541, Z:0.936003
Joint16 X:-0.012056, Y:-0.595080, Z:1.430478
Joint17 X:0.355516, Y:-0.712381, Z:1.357327
Joint18 X:0.890553, Y:-0.899900, Z:1.290846
Joint19 X:0.922236, Y:-0.910225, Z:1.161643
Joint20 X:0.106694, Y:-0.069235, Z:1.360698
Joint21 X:-0.590333, Y:-0.291745, Z:1.268036
Joint22 X:-0.524077, Y:-0.261084, Z:1.266490
Joint23 X:0.271084, Y:-0.765634, Z:1.345329
Joint24 X:0.311746, Y:-0.729847, Z:1.377250
Joint0 X:-0.088529, Y:-0.573530, Z:1.444459
Joint1 X:0.022949, Y:-0.281936, Z:1.401591
Joint2 X:0.128081, Y:0.002847, Z:1.341069
Joint3 X:0.298048, Y:0.059590, Z:1.289906
Joint4 X:-0.044512, Y:-0.023047, Z:1.324676
Joint5 X:-0.298016, Y:-0.098507, Z:1.344098
Joint6 X:-0.494897, Y:-0.229599, Z:1.305523
Joint7 X:-0.543203, Y:-0.255826, Z:1.291566
Joint8 X:0.204056, Y:-0.210562, Z:1.392318
Joint9 X:0.200409, Y:-0.460108, Z:1.422174
Joint10 X:0.220489, Y:-0.694246, Z:1.384391
Joint11 X:0.231219, Y:-0.718625, Z:1.365988
Joint12 X:-0.160340, Y:-0.525829, Z:1.393606
Joint13 X:0.223645, Y:-0.740535, Z:1.225561
Joint14 X:0.633331, Y:-0.980480, Z:1.069634
Joint15 X:0.664570, Y:-0.992189, Z:0.937939
Joint16 X:-0.013084, Y:-0.596125, Z:1.431113
Joint17 X:0.355701, Y:-0.709526, Z:1.355823
Joint18 X:0.892499, Y:-0.891342, Z:1.286104
Joint19 X:0.924483, Y:-0.901801, Z:1.157395
Joint20 X:0.102579, Y:-0.067423, Z:1.358811
Joint21 X:-0.593627, Y:-0.298456, Z:1.273268
Joint22 X:-0.531440, Y:-0.279093, Z:1.264500
Joint23 X:0.287724, Y:-0.765477, Z:1.348694
Joint24 X:0.317205, Y:-0.722780, Z:1.370667
Joint0 X:-0.077938, Y:-0.564328, Z:1.442671
Joint1 X:0.021630, Y:-0.273589, Z:1.399520
