Joint3 X:-0.009541, Y:0.367196, Z:1.519271
Joint4 X:-0.171870, Y:0.034598, Z:1.452630
Joint5 X:-0.319508, Y:-0.165586, Z:1.545897
Joint6 X:-0.276931, Y:-0.265864, Z:1.739110
Joint7 X:-0.263546, Y:-0.299631, Z:1.807170
Joint8 X:0.188133, Y:0.041310, Z:1.447319
Joint9 X:0.364417, Y:-0.139597, Z:1.543816
Joint10 X:0.270096, Y:-0.248234, Z:1.715938
Joint11 X:0.239586, Y:-0.284719, Z:1.776927
Joint12 X:-0.075787, Y:-0.446882, Z:1.358268
Joint13 X:-0.043381, Y:-0.889708, Z:1.332196
Joint14 X:-0.021178, Y:-1.212372, Z:1.331197
Joint15 X:-0.017647, Y:-1.243537, Z:1.192618
Joint16 X:0.101788, Y:-0.441454, Z:1.350439
Joint17 X:0.118407, Y:-0.883676, Z:1.342807
Joint18 X:0.131652, Y:-1.205956, Z:1.355332
Joint19 X:0.130732, Y:-1.242706, Z:1.219148
Joint20 X:-0.000729, Y:0.137562, Z:1.478049
Joint21 X:-0.265067, Y:-0.295935, Z:1.800254
Joint22 X:-0.257154, Y:-0.310755, Z:1.788975
Joint23 X:0.240930, Y:-0.286268, Z:1.780486
Joint24 X:0.240400, Y:-0.283877, Z:1.768595
Joint0 X:0.013264, Y:-0.454916, Z:1.387211
Joint1 X:0.005155, Y:-0.111360, Z:1.445250
Joint2 X:-0.002545, Y:0.218013, Z:1.485805
Joint3 X:-0.009357, Y:0.367237, Z:1.519303
Joint4 X:-0.171863, Y:0.034615, Z:1.452646
Joint5 X:-0.319267, Y:-0.166177, Z:1.545999
Joint6 X:-0.276475, Y:-0.265360, Z:1.739684
Joint7 X:-0.263019, Y:-0.298765, Z:1.807902
Joint8 X:0.188173, Y:0.041282, Z:1.447346
Joint9 X:0.364377, Y:-0.139582, Z:1.543654
Joint10 X:0.270060, Y:-0.248211, Z:1.715765
Joint11 X:0.239552, Y:-0.284695, Z:1.776751
Joint12 X:-0.075836, Y:-0.446846, Z:1.358277
Joint13 X:-0.042924, Y:-0.889789, Z:1.332395
Joint14 X:-0.020368, Y:-1.212423, Z:1.331534
Joint15 X:-0.016750, Y:-1.243654, Z:1.192938
Joint16 X:0.101762, Y:-0.441438, Z:1.350456
Joint17 X:0.120133, Y:-0.883772, Z:1.342437
Joint18 X:0.134628, Y:-1.206018, Z:1.354674
Joint19 X:0.133993, Y:-1.242659, Z:1.218401
Joint20 X:-0.000670, Y:0.137598, Z:1.478078
Joint21 X:-0.264542, Y:-0.295073, Z:1.800985
Joint22 X:-0.256803, Y:-0.310348, Z:1.789266
Joint23 X:0.240896, Y:-0.286243, Z:1.780311
