Joint21 X:-0.195999, Y:-0.512661, Z:1.391334
Joint22 X:-0.179094, Y:-0.436449, Z:1.382616
Joint23 X:0.200953, Y:-0.475617, Z:1.338516
Joint24 X:0.235848, Y:-0.450642, Z:1.442333
Joint0 X:0.000406, Y:-0.525312, Z:1.355557
Joint1 X:-0.005160, Y:-0.218170, Z:1.396342
Joint2 X:-0.009161, Y:0.077688, Z:1.419513
Joint3 X:-0.010801, Y:0.203393, Z:1.432039
Joint4 X:-0.207724, Y:-0.058541, Z:1.424086
Joint5 X:-0.329016, Y:-0.261845, Z:1.437373
Joint6 X:-0.221726, Y:-0.436269, Z:1.439132
Joint7 X:-0.198913, Y:-0.471663, Z:1.423971
Joint8 X:0.180370, Y:-0.048811, Z:1.424159
Joint9 X:0.332941, Y:-0.255234, Z:1.460683
Joint10 X:0.238065, Y:-0.429100, Z:1.396062
Joint11 X:0.198138, Y:-0.441885, Z:1.350652
Joint12 X:-0.085002, Y:-0.514419, Z:1.324430
Joint13 X:-0.054578, Y:-0.828864, Z:1.146508
Joint14 X:-0.028100, Y:-1.125496, Z:1.005312
Joint15 X:-0.024935, Y:-1.116012, Z:0.877024
Joint16 X:0.085826, Y:-0.510589, Z:1.320665
Joint17 X:0.039874, Y:-0.822209, Z:1.139771
Joint18 X:-0.000820, Y:-1.116155, Z:0.995746
Joint19 X:-0.005949, Y:-1.105972, Z:0.867462
Joint20 X:-0.008274, Y:0.005281, Z:1.416367
Joint21 X:-0.197213, Y:-0.515478, Z:1.393019
Joint22 X:-0.184007, Y:-0.461289, Z:1.382375
Joint23 X:0.197703, Y:-0.508148, Z:1.320505
Joint24 X:0.211616, Y:-0.490645, Z:1.358603
Joint0 X:0.000581, Y:-0.525234, Z:1.355586
Joint1 X:-0.004542, Y:-0.217843, Z:1.396872
Joint2 X:-0.008430, Y:0.078468, Z:1.420846
Joint3 X:-0.010624, Y:0.203798, Z:1.433803
Joint4 X:-0.207438, Y:-0.058431, Z:1.424588
Joint5 X:-0.327115, Y:-0.264123, Z:1.437396
Joint6 X:-0.218123, Y:-0.437277, Z:1.441705
Joint7 X:-0.197704, Y:-0.467679, Z:1.424114
Joint8 X:0.180328, Y:-0.048830, Z:1.423563
Joint9 X:0.334340, Y:-0.254691, Z:1.460829
Joint10 X:0.238758, Y:-0.428308, Z:1.396585
Joint11 X:0.198769, Y:-0.442803, Z:1.350992
Joint12 X:-0.084843, Y:-0.514376, Z:1.324594
Joint13 X:-0.075649, Y:-0.834526, Z:1.158314
Joint14 X:-0.068645, Y:-1.136472, Z:1.028115
Joint15 X:-0.067112, Y:-1.128937, Z:0.899853
Joint16 X:0.086041, Y:-0.510461, Z:1.320526
Joint17 X:0.025374, Y:-0.818631, Z:1.136989
Joint18 X:-0.028811, Y:-1.109386, Z:0.990433
Joint19 X:-0.035078, Y:-1.098417, Z:0.862042
Joint20 X:-0.007541, Y:0.005933, Z:1.417454
Joint21 X:-0.195859, Y:-0.507337, Z:1.395811
Joint22 X:-0.180621, Y:-0.442471, Z:1.385741
Joint23 X:0.197261, Y:-0.508617, Z:1.319948
Joint24 X:0.209486, Y:-0.495870, Z:1.349606
Joint0 X:0.000685, Y:-0.525128, Z:1.355793
Joint1 X:-0.004293, Y:-0.217136, Z:1.397713
Joint2 X:-0.008468, Y:0.080061, Z:1.422666
Joint3 X:-0.010759, Y:0.204760, Z:1.437113
Joint4 X:-0.207132, Y:-0.058309, Z:1.424758
Joint5 X:-0.326023, Y:-0.266397, Z:1.437581
Joint6 X:-0.216764, Y:-0.439284, Z:1.442693
Joint7 X:-0.198845, Y:-0.471615, Z:1.423119
Joint8 X:0.180271, Y:-0.048794, Z:1.423424
Joint9 X:0.334353, Y:-0.254808, Z:1.460911
Joint10 X:0.233483, Y:-0.424215, Z:1.392673
Joint11 X:0.220173, Y:-0.417204, Z:1.383953
Joint12 X:-0.084801, Y:-0.514309, Z:1.324949
Joint13 X:-0.078289, Y:-0.834404, Z:1.158400
Joint14 X:-0.073741, Y:-1.136299, Z:1.027953
Joint15 X:-0.072471, Y:-1.128614, Z:0.899622
Joint16 X:0.086206, Y:-0.510313, Z:1.320577
Joint17 X:0.026336, Y:-0.818934, Z:1.137721
Joint18 X:-0.027113, Y:-1.110105, Z:0.991810
Joint19 X:-0.033439, Y:-1.099126, Z:0.863360
Joint20 X:-0.007466, Y:0.007295, Z:1.418999
Joint21 X:-0.204120, Y:-0.521436, Z:1.405752
Joint22 X:-0.181386, Y:-0.447777, Z:1.387710
Joint23 X:0.209346, Y:-0.502363, Z:1.357000
Joint24 X:0.236320, Y:-0.448883, Z:1.438800
Joint0 X:0.000577, Y:-0.524795, Z:1.356367
Joint1 X:-0.004498, Y:-0.214889, Z:1.399994
Joint2 X:-0.009154, Y:0.084601, Z:1.426824
Joint3 X:-0.011837, Y:0.208564, Z:1.444634
Joint4 X:-0.205343, Y:-0.056497, Z:1.427038
Joint5 X:-0.324169, Y:-0.269127, Z:1.438028
Joint6 X:-0.216852, Y:-0.443168, Z:1.442904
Joint7 X:-0.198752, Y:-0.473913, Z:1.423619
Joint8 X:0.180885, Y:-0.049054, Z:1.424541
Joint9 X:0.334704, Y:-0.254329, Z:1.461098
Joint10 X:0.233942, Y:-0.424581, Z:1.395217
Joint11 X:0.194781, Y:-0.447727, Z:1.343703
Joint12 X:-0.085006, Y:-0.513967, Z:1.325521
Joint13 X:-0.042866, Y:-0.830131, Z:1.153744
Joint14 X:-0.005698, Y:-1.128056, Z:1.018439
Joint15 X:-0.002185, Y:-1.118992, Z:0.890028
Joint16 X:0.086195, Y:-0.510002, Z:1.321106
Joint17 X:0.028048, Y:-0.819695, Z:1.139069
Joint18 X:-0.023768, Y:-1.111550, Z:0.994076
Joint19 X:-0.030203, Y:-1.100466, Z:0.865684
Joint20 X:-0.008015, Y:0.011270, Z:1.422686
Joint21 X:-0.197195, Y:-0.511482, Z:1.400974
Joint22 X:-0.184332, Y:-0.458517, Z:1.382417
Joint23 X:0.199884, Y:-0.517006, Z:1.321813
Joint24 X:0.208670, Y:-0.498748, Z:1.348471
Joint0 X:0.000261, Y:-0.524247, Z:1.357104
Joint1 X:-0.004919, Y:-0.212840, Z:1.402021
Joint2 X:-0.009661, Y:0.087836, Z:1.429776
Joint3 X:-0.012510, Y:0.212001, Z:1.451627
Joint4 X:-0.203304, Y:-0.054898, Z:1.428350
Joint5 X:-0.323390, Y:-0.270106, Z:1.437970
Joint6 X:-0.216871, Y:-0.444615, Z:1.442742
Joint7 X:-0.199120, Y:-0.477410, Z:1.423405
Joint8 X:0.181505, Y:-0.048867, Z:1.426252
Joint9 X:0.334838, Y:-0.254120, Z:1.461061
Joint10 X:0.237050, Y:-0.426960, Z:1.398154
Joint11 X:0.200244, Y:-0.446061, Z:1.354448
Joint12 X:-0.085442, Y:-0.513242, Z:1.326301
Joint13 X:-0.034759, Y:-0.824806, Z:1.145207
Joint14 X:0.010200, Y:-1.118158, Z:1.001244
Joint15 X:0.014321, Y:-1.107306, Z:0.872827
Joint16 X:0.085992, Y:-0.509641, Z:1.321776
Joint17 X:0.027772, Y:-0.819221, Z:1.138634
Joint18 X:-0.024070, Y:-1.110678, Z:0.992732
Joint19 X:-0.030328, Y:-1.099273, Z:0.864398
Joint20 X:-0.008511, Y:0.014243, Z:1.425429
Joint21 X:-0.205628, Y:-0.528229, Z:1.405191
Joint22 X:-0.185982, Y:-0.480877, Z:1.383223
Joint23 X:0.197446, Y:-0.514443, Z:1.318111
Joint24 X:0.209347, Y:-0.498771, Z:1.352407
Joint0 X:0.000138, Y:-0.523658, Z:1.357665
Joint1 X:-0.005037, Y:-0.211658, Z:1.403010
Joint2 X:-0.009844, Y:0.089284, Z:1.430998
Joint3 X:-0.012918, Y:0.213111, Z:1.453590
Joint4 X:-0.201723, Y:-0.053376, Z:1.429408
Joint5 X:-0.323037, Y:-0.270995, Z:1.437962
Joint6 X:-0.216433, Y:-0.445451, Z:1.442678
Joint7 X:-0.198475, Y:-0.476542, Z:1.424595
Joint8 X:0.182609, Y:-0.048927, Z:1.428711
Joint9 X:0.334930, Y:-0.253705, Z:1.460901
Joint10 X:0.236890, Y:-0.426464, Z:1.398169
