Joint13 X:-0.078647, Y:-0.789743, Z:1.337823
Joint14 X:-0.089899, Y:-1.152794, Z:1.293489
Joint15 X:-0.081099, Y:-1.170619, Z:1.165268
Joint16 X:0.106445, Y:-0.389291, Z:1.415989
Joint17 X:0.124719, Y:-0.781549, Z:1.338696
Joint18 X:0.143033, Y:-1.144123, Z:1.291316
Joint19 X:0.151822, Y:-1.160994, Z:1.163073
Joint20 X:-0.005951, Y:0.096650, Z:1.460163
Joint21 X:-0.174624, Y:-0.500518, Z:1.413722
Joint22 X:-0.194587, Y:-0.450811, Z:1.376536
Joint23 X:0.135689, Y:-0.427067, Z:1.318517
Joint24 X:0.204644, Y:-0.451940, Z:1.398493
Joint0 X:0.019528, Y:-0.402865, Z:1.446581
Joint1 X:0.004624, Y:-0.113926, Z:1.459434
Joint2 X:-0.009756, Y:0.164267, Z:1.457122
Joint3 X:-0.022019, Y:0.276717, Z:1.454635
Joint4 X:-0.185588, Y:0.015497, Z:1.476460
Joint5 X:-0.297327, Y:-0.195175, Z:1.501855
Joint6 X:-0.234952, Y:-0.387686, Z:1.443002
Joint7 X:-0.188365, Y:-0.426981, Z:1.418248
Joint8 X:0.192127, Y:0.077122, Z:1.511575
Joint9 X:0.296210, Y:-0.158277, Z:1.538164
Joint10 X:0.259281, Y:-0.358457, Z:1.485061
Joint11 X:0.171002, Y:-0.381117, Z:1.374147
Joint12 X:-0.068037, Y:-0.398253, Z:1.412840
Joint13 X:-0.078725, Y:-0.790739, Z:1.337261
Joint14 X:-0.089536, Y:-1.153679, Z:1.291507
Joint15 X:-0.082013, Y:-1.171230, Z:1.163140
Joint16 X:0.106060, Y:-0.389684, Z:1.415757
Joint17 X:0.123364, Y:-0.782005, Z:1.338764
Joint18 X:0.140792, Y:-1.144644, Z:1.291660
Joint19 X:0.148168, Y:-1.161669, Z:1.163327
Joint20 X:-0.006242, Y:0.096222, Z:1.460063
Joint21 X:-0.173939, Y:-0.496635, Z:1.408142
Joint22 X:-0.202430, Y:-0.466479, Z:1.375667
Joint23 X:0.136328, Y:-0.426756, Z:1.319523
Joint24 X:0.205192, Y:-0.453472, Z:1.398884
Joint0 X:0.020447, Y:-0.404101, Z:1.448483
Joint1 X:0.004463, Y:-0.114670, Z:1.459861
Joint2 X:-0.010413, Y:0.163752, Z:1.456892
Joint3 X:-0.025435, Y:0.276076, Z:1.455254
Joint4 X:-0.187065, Y:0.014568, Z:1.477479
Joint5 X:-0.298555, Y:-0.194499, Z:1.501923
Joint6 X:-0.232023, Y:-0.386156, Z:1.444302
Joint7 X:-0.187107, Y:-0.422226, Z:1.422866
Joint8 X:0.190745, Y:0.076498, Z:1.508854
Joint9 X:0.296075, Y:-0.158162, Z:1.538533
Joint10 X:0.260542, Y:-0.358866, Z:1.485999
Joint11 X:0.170759, Y:-0.382107, Z:1.376355
Joint12 X:-0.067010, Y:-0.400114, Z:1.415902
Joint13 X:-0.079596, Y:-0.792182, Z:1.336711
Joint14 X:-0.092109, Y:-1.154761, Z:1.287594
Joint15 X:-0.085713, Y:-1.171812, Z:1.159047
Joint16 X:0.106858, Y:-0.390252, Z:1.416521
Joint17 X:0.121942, Y:-0.782716, Z:1.340196
Joint18 X:0.137366, Y:-1.145499, Z:1.293703
Joint19 X:0.143573, Y:-1.162874, Z:1.165377
Joint20 X:-0.006749, Y:0.095699, Z:1.459973
Joint21 X:-0.175932, Y:-0.494751, Z:1.417091
Joint22 X:-0.187109, Y:-0.440955, Z:1.381710
Joint23 X:0.136149, Y:-0.428715, Z:1.320643
Joint24 X:0.205233, Y:-0.452922, Z:1.400001
Joint0 X:0.021413, Y:-0.404897, Z:1.459759
Joint1 X:0.006724, Y:-0.116366, Z:1.467747
Joint2 X:-0.007183, Y:0.162094, Z:1.461583
Joint3 X:-0.020132, Y:0.277852, Z:1.460289
Joint4 X:-0.188018, Y:0.018200, Z:1.480838
Joint5 X:-0.314217, Y:-0.183988, Z:1.498760
Joint6 X:-0.237316, Y:-0.373892, Z:1.447302
Joint7 X:-0.200284, Y:-0.431670, Z:1.429670
Joint8 X:0.192793, Y:0.074840, Z:1.508400
Joint9 X:0.312886, Y:-0.140889, Z:1.527939
Joint10 X:0.265246, Y:-0.343905, Z:1.524944
Joint11 X:0.247706, Y:-0.339361, Z:1.548328
Joint12 X:-0.067386, Y:-0.401441, Z:1.428108
Joint13 X:-0.087779, Y:-0.792309, Z:1.340667
Joint14 X:-0.107314, Y:-1.152704, Z:1.283985
Joint15 X:-0.102250, Y:-1.168940, Z:1.155119
Joint16 X:0.109243, Y:-0.390472, Z:1.426993
Joint17 X:0.122074, Y:-0.781908, Z:1.338983
Joint18 X:0.135417, Y:-1.142626, Z:1.281727
Joint19 X:0.140511, Y:-1.158613, Z:1.152920
Joint20 X:-0.003711, Y:0.093870, Z:1.465499
Joint21 X:-0.207306, Y:-0.482494, Z:1.394306
Joint22 X:-0.194797, Y:-0.465273, Z:1.384715
Joint23 X:0.263290, Y:-0.369206, Z:1.563750
Joint24 X:0.214568, Y:-0.323420, Z:1.476174
Joint0 X:0.024345, Y:-0.403079, Z:1.458687
Joint1 X:0.008353, Y:-0.115152, Z:1.466793
Joint2 X:-0.006717, Y:0.162729, Z:1.459989
Joint3 X:-0.014027, Y:0.276767, Z:1.458515
Joint4 X:-0.183951, Y:0.018562, Z:1.476154
Joint5 X:-0.300931, Y:-0.182607, Z:1.499362
Joint6 X:-0.234406, Y:-0.379790, Z:1.474187
Joint7 X:-0.208171, Y:-0.443298, Z:1.458483
Joint8 X:0.197409, Y:0.079543, Z:1.522369
Joint9 X:0.306856, Y:-0.150824, Z:1.538036
Joint10 X:0.268839, Y:-0.354721, Z:1.506434
Joint11 X:0.230327, Y:-0.342345, Z:1.498017
Joint12 X:-0.063583, Y:-0.399023, Z:1.423725
Joint13 X:-0.079322, Y:-0.791432, Z:1.342104
Joint14 X:-0.094550, Y:-1.152288, Z:1.290919
Joint15 X:-0.084361, Y:-1.169664, Z:1.162490
Joint16 X:0.111490, Y:-0.389066, Z:1.428795
Joint17 X:0.123678, Y:-0.780996, Z:1.338888
Joint18 X:0.136434, Y:-1.141215, Z:1.279987
Joint19 X:0.146211, Y:-1.156844, Z:1.151323
Joint20 X:-0.002962, Y:0.094692, Z:1.464071
Joint21 X:-0.207781, Y:-0.462368, Z:1.435818
