Joint9 X:0.372073, Y:-0.125207, Z:1.403389
Joint10 X:0.553618, Y:-0.226238, Z:1.382444
Joint11 X:0.562097, Y:-0.230277, Z:1.373489
Joint12 X:-0.043125, Y:-0.422704, Z:1.354673
Joint13 X:-0.007792, Y:-0.725118, Z:1.353206
Joint14 X:0.036063, Y:-1.121089, Z:1.386614
Joint15 X:0.043160, Y:-1.155718, Z:1.272087
Joint16 X:0.081437, Y:-0.422871, Z:1.354520
Joint17 X:0.044441, Y:-0.724923, Z:1.355472
Joint18 X:-0.000534, Y:-1.120441, Z:1.391942
Joint19 X:-0.008732, Y:-1.155824, Z:1.277835
Joint20 X:0.011167, Y:0.078619, Z:1.430655
Joint21 X:-0.571098, Y:-0.260050, Z:1.395732
Joint22 X:-0.512758, Y:-0.263267, Z:1.375870
Joint23 X:0.582112, Y:-0.246419, Z:1.362365
Joint24 X:0.560738, Y:-0.189418, Z:1.354900
Joint0 X:0.018858, Y:-0.432173, Z:1.385776
Joint1 X:0.014583, Y:-0.136381, Z:1.416250
Joint2 X:0.010152, Y:0.148547, Z:1.432333
Joint3 X:0.008420, Y:0.277881, Z:1.434707
Joint4 X:-0.161793, Y:0.022509, Z:1.395617
Joint5 X:-0.360173, Y:-0.075745, Z:1.394501
Joint6 X:-0.556256, Y:-0.144634, Z:1.376130
Joint7 X:-0.562393, Y:-0.124765, Z:1.377707
Joint8 X:0.176938, Y:0.021244, Z:1.387169
Joint9 X:0.405768, Y:-0.064216, Z:1.387819
Joint10 X:0.604517, Y:-0.123905, Z:1.371232
Joint11 X:0.615863, Y:-0.121413, Z:1.362317
Joint12 X:-0.043523, Y:-0.422592, Z:1.354797
Joint13 X:-0.013365, Y:-0.725235, Z:1.355542
Joint14 X:0.023924, Y:-1.121863, Z:1.391866
Joint15 X:0.027774, Y:-1.157596, Z:1.277670
Joint16 X:0.080425, Y:-0.423060, Z:1.356474
Joint17 X:0.041049, Y:-0.725074, Z:1.355676
Joint18 X:-0.007032, Y:-1.120884, Z:1.389912
Joint19 X:-0.017864, Y:-1.155255, Z:1.275469
Joint20 X:0.011248, Y:0.078765, Z:1.430542
Joint21 X:-0.625633, Y:-0.146318, Z:1.367715
Joint22 X:-0.556566, Y:-0.154188, Z:1.351757
Joint23 X:0.638655, Y:-0.131649, Z:1.347737
Joint24 X:0.604341, Y:-0.079691, Z:1.345300
Joint0 X:0.017231, Y:-0.429858, Z:1.386478
Joint1 X:0.013828, Y:-0.135001, Z:1.416928
Joint2 X:0.010053, Y:0.149374, Z:1.432865
Joint3 X:0.008960, Y:0.278184, Z:1.434648
Joint4 X:-0.166800, Y:0.024839, Z:1.394960
Joint5 X:-0.383724, Y:-0.024962, Z:1.377366
Joint6 X:-0.589733, Y:-0.041792, Z:1.344901
Joint7 X:-0.617046, Y:-0.038358, Z:1.346596
Joint8 X:0.187512, Y:0.027879, Z:1.393390
Joint9 X:0.417706, Y:-0.000580, Z:1.377401
Joint10 X:0.624521, Y:-0.008916, Z:1.351816
Joint11 X:0.637945, Y:-0.009748, Z:1.345809
Joint12 X:-0.044883, Y:-0.420500, Z:1.354703
Joint13 X:-0.017307, Y:-0.723312, Z:1.356310
Joint14 X:0.016684, Y:-1.120456, Z:1.393802
Joint15 X:0.021951, Y:-1.156368, Z:1.279688
Joint16 X:0.078492, Y:-0.420373, Z:1.357791
Joint17 X:0.038980, Y:-0.722612, Z:1.355693
Joint18 X:-0.009370, Y:-1.118973, Z:1.388289
Joint19 X:-0.018308, Y:-1.153174, Z:1.273478
Joint20 X:0.011011, Y:0.079708, Z:1.431100
Joint21 X:-0.661959, Y:-0.044304, Z:1.338603
Joint22 X:-0.611960, Y:-0.064885, Z:1.314714
Joint23 X:0.667842, Y:-0.014627, Z:1.325368
Joint24 X:0.617114, Y:0.028083, Z:1.331000
Joint0 X:0.018284, Y:-0.426764, Z:1.387328
Joint1 X:0.014143, Y:-0.133481, Z:1.417518
Joint2 X:0.010054, Y:0.149807, Z:1.433172
Joint3 X:0.009121, Y:0.278385, Z:1.434470
Joint4 X:-0.171926, Y:0.026498, Z:1.395458
Joint5 X:-0.387747, Y:0.001249, Z:1.367628
Joint6 X:-0.593930, Y:-0.006822, Z:1.332123
Joint7 X:-0.624141, Y:0.007224, Z:1.330241
Joint8 X:0.192232, Y:0.032392, Z:1.396320
Joint9 X:0.412352, Y:0.028247, Z:1.371719
Joint10 X:0.618605, Y:0.042991, Z:1.342945
Joint11 X:0.636728, Y:0.043997, Z:1.334773
Joint12 X:-0.043681, Y:-0.418268, Z:1.354953
Joint13 X:-0.017619, Y:-0.721375, Z:1.355748
Joint14 X:0.014491, Y:-1.119053, Z:1.392221
Joint15 X:0.019983, Y:-1.154680, Z:1.277912
Joint16 X:0.079346, Y:-0.416412, Z:1.359126
Joint17 X:0.038081, Y:-0.718785, Z:1.355207
Joint18 X:-0.012516, Y:-1.115420, Z:1.385467
Joint19 X:-0.021163, Y:-1.149064, Z:1.270258
Joint20 X:0.011064, Y:0.080362, Z:1.431469
Joint21 X:-0.669540, Y:0.006103, Z:1.325649
Joint22 X:-0.609069, Y:0.041418, Z:1.340455
Joint23 X:0.667122, Y:0.042104, Z:1.310092
Joint24 X:0.612115, Y:0.080449, Z:1.320895
Joint0 X:0.018911, Y:-0.424364, Z:1.389336
Joint1 X:0.014547, Y:-0.132282, Z:1.418549
Joint2 X:0.010240, Y:0.150023, Z:1.433460
Joint3 X:0.009123, Y:0.278520, Z:1.434437
Joint4 X:-0.175487, Y:0.028447, Z:1.395451
Joint5 X:-0.394563, Y:0.023347, Z:1.364089
Joint6 X:-0.601257, Y:0.025849, Z:1.332736
Joint7 X:-0.630921, Y:0.035967, Z:1.336716
Joint8 X:0.190982, Y:0.034817, Z:1.394323
Joint9 X:0.414525, Y:0.048504, Z:1.366874
Joint10 X:0.619657, Y:0.074248, Z:1.338083
Joint11 X:0.640310, Y:0.081846, Z:1.336520
Joint12 X:-0.042796, Y:-0.415855, Z:1.356905
Joint13 X:-0.017395, Y:-0.719602, Z:1.353709
Joint14 X:0.013922, Y:-1.118302, Z:1.385035
Joint15 X:0.018569, Y:-1.152626, Z:1.269931
Joint16 X:0.079757, Y:-0.414221, Z:1.361052
Joint17 X:0.037257, Y:-0.716746, Z:1.355124
Joint18 X:-0.014949, Y:-1.113796, Z:1.382801
Joint19 X:-0.024273, Y:-1.146664, Z:1.267186
Joint20 X:0.011280, Y:0.080784, Z:1.431917
Joint21 X:-0.671616, Y:0.039861, Z:1.331585
Joint22 X:-0.620068, Y:0.069695, Z:1.357333
Joint23 X:0.670873, Y:0.086053, Z:1.314023
Joint24 X:0.616262, Y:0.113783, Z:1.332806
Joint0 X:0.019272, Y:-0.421677, Z:1.391238
Joint1 X:0.014931, Y:-0.131060, Z:1.419476
Joint2 X:0.010503, Y:0.150161, Z:1.433634
Joint3 X:0.009451, Y:0.278684, Z:1.434324
Joint4 X:-0.177019, Y:0.030301, Z:1.395798
Joint5 X:-0.399037, Y:0.037437, Z:1.364662
Joint6 X:-0.605867, Y:0.046879, Z:1.337968
Joint7 X:-0.634479, Y:0.065519, Z:1.344191
Joint8 X:0.196068, Y:0.038697, Z:1.397814
Joint9 X:0.420925, Y:0.068411, Z:1.363752
Joint10 X:0.623262, Y:0.111712, Z:1.338457
Joint11 X:0.640257, Y:0.122318, Z:1.336313
Joint12 X:-0.042254, Y:-0.413683, Z:1.359382
Joint13 X:-0.017800, Y:-0.717944, Z:1.352998
Joint14 X:0.012341, Y:-1.117388, Z:1.380201
Joint15 X:0.017484, Y:-1.150622, Z:1.264510
Joint16 X:0.079951, Y:-0.411074, Z:1.362353
Joint17 X:0.037224, Y:-0.713860, Z:1.354664
Joint18 X:-0.015294, Y:-1.111316, Z:1.380072
Joint19 X:-0.023786, Y:-1.143736, Z:1.264093
Joint20 X:0.011583, Y:0.081132, Z:1.432246
Joint21 X:-0.676397, Y:0.070157, Z:1.343859
Joint22 X:-0.611697, Y:0.097403, Z:1.348750
Joint23 X:0.669539, Y:0.127197, Z:1.313878
Joint24 X:0.613510, Y:0.153719, Z:1.330500
Joint0 X:0.017927, Y:-0.415385, Z:1.393235
Joint1 X:0.014401, Y:-0.127940, Z:1.420819
Joint2 X:0.010521, Y:0.150612, Z:1.434099
Joint3 X:0.010015, Y:0.278903, Z:1.434232
Joint4 X:-0.180031, Y:0.036747, Z:1.396720
Joint5 X:-0.390754, Y:0.074566, Z:1.363359
Joint6 X:-0.589705, Y:0.132032, Z:1.336711
Joint7 X:-0.635104, Y:0.144380, Z:1.338745
Joint8 X:0.198670, Y:0.046570, Z:1.400071
Joint9 X:0.406826, Y:0.120624, Z:1.360017
Joint10 X:0.597935, Y:0.199633, Z:1.332533
Joint11 X:0.621395, Y:0.214276, Z:1.331643
Joint12 X:-0.043409, Y:-0.407522, Z:1.361461
Joint13 X:-0.027139, Y:-0.712792, Z:1.351978
Joint14 X:-0.007469, Y:-1.113539, Z:1.375187
Joint15 X:-0.003569, Y:-1.145930, Z:1.258954
Joint16 X:0.078486, Y:-0.404947, Z:1.364128
Joint17 X:0.036885, Y:-0.708320, Z:1.353817
Joint18 X:-0.014263, Y:-1.106545, Z:1.375850
Joint19 X:-0.022124, Y:-1.138245, Z:1.259402
Joint20 X:0.011520, Y:0.082132, Z:1.432945
Joint21 X:-0.678704, Y:0.160027, Z:1.349314
Joint22 X:-0.623769, Y:0.172923, Z:1.375000
Joint23 X:0.641807, Y:0.230227, Z:1.306918
Joint24 X:0.606977, Y:0.235679, Z:1.344400
Joint0 X:0.013923, Y:-0.406333, Z:1.394719
Joint1 X:0.012171, Y:-0.123158, Z:1.422030
Joint2 X:0.009953, Y:0.151397, Z:1.434757
Joint3 X:0.010544, Y:0.279186, Z:1.434157
Joint4 X:-0.180210, Y:0.046826, Z:1.397665
Joint5 X:-0.396924, Y:0.130634, Z:1.358307
Joint6 X:-0.586082, Y:0.215726, Z:1.344201
Joint7 X:-0.610954, Y:0.223790, Z:1.341975
Joint8 X:0.197475, Y:0.054561, Z:1.401579
Joint9 X:0.377952, Y:0.158217, Z:1.355570
Joint10 X:0.597037, Y:0.264170, Z:1.323702
Joint11 X:0.547164, Y:0.269101, Z:1.332915
Joint12 X:-0.047623, Y:-0.397984, Z:1.363134
Joint13 X:-0.032874, Y:-0.703901, Z:1.350562
Joint14 X:-0.015251, Y:-1.105314, Z:1.369803
Joint15 X:-0.011367, Y:-1.136819, Z:1.253008
Joint16 X:0.074832, Y:-0.396610, Z:1.365341
Joint17 X:0.035060, Y:-0.700651, Z:1.352706
Joint18 X:-0.013859, Y:-1.099607, Z:1.371780
Joint19 X:-0.021039, Y:-1.130731, Z:1.254897
Joint20 X:0.010582, Y:0.083809, Z:1.433798
Joint21 X:-0.648550, Y:0.236817, Z:1.334194
Joint22 X:-0.594347, Y:0.245439, Z:1.369000
Joint23 X:0.606314, Y:0.304830, Z:1.317385
Joint24 X:0.514020, Y:0.295069, Z:1.350000
Joint0 X:0.009440, Y:-0.398846, Z:1.395816
Joint1 X:0.010133, Y:-0.119011, Z:1.422886
Joint2 X:0.009757, Y:0.152179, Z:1.435281
Joint3 X:0.010657, Y:0.279456, Z:1.434254
Joint4 X:-0.174228, Y:0.060152, Z:1.398373
Joint5 X:-0.355195, Y:0.191158, Z:1.343879
Joint6 X:-0.507436, Y:0.331704, Z:1.318346
Joint7 X:-0.522870, Y:0.331124, Z:1.307639
Joint8 X:0.187500, Y:0.062185, Z:1.401490
Joint9 X:0.339162, Y:0.207082, Z:1.341370
Joint10 X:0.472140, Y:0.365115, Z:1.306894
Joint11 X:0.503353, Y:0.378177, Z:1.309619
