Joint8 X:0.156415, Y:0.233674, Z:1.453333
Joint9 X:0.292599, Y:0.047498, Z:1.534353
Joint10 X:0.335568, Y:-0.144665, Z:1.528494
Joint11 X:0.315534, Y:-0.220353, Z:1.519438
Joint12 X:-0.066465, Y:-0.257630, Z:1.360959
Joint13 X:-0.067846, Y:-0.576364, Z:1.335470
Joint14 X:-0.050767, Y:-0.944414, Z:1.350118
Joint15 X:-0.052819, Y:-0.972986, Z:1.232755
Joint16 X:0.070988, Y:-0.255289, Z:1.356102
Joint17 X:0.089187, Y:-0.577338, Z:1.343002
Joint18 X:0.090416, Y:-0.941907, Z:1.344047
Joint19 X:0.083012, Y:-0.966926, Z:1.225057
Joint20 X:-0.007239, Y:0.273456, Z:1.451124
Joint21 X:-0.338688, Y:-0.257885, Z:1.515554
Joint22 X:-0.369681, Y:-0.186956, Z:1.505643
Joint23 X:0.301897, Y:-0.283850, Z:1.519898
Joint24 X:0.294677, Y:-0.199946, Z:1.536333
Joint0 X:-0.001086, Y:-0.262198, Z:1.393056
Joint1 X:-0.005237, Y:0.048763, Z:1.429469
Joint2 X:-0.010284, Y:0.343998, Z:1.451352
Joint3 X:-0.028213, Y:0.496192, Z:1.427420
Joint4 X:-0.192328, Y:0.231342, Z:1.469652
Joint5 X:-0.326558, Y:0.046292, Z:1.521664
Joint6 X:-0.350221, Y:-0.135670, Z:1.514057
Joint7 X:-0.349957, Y:-0.197882, Z:1.499336
Joint8 X:0.155855, Y:0.234656, Z:1.453044
Joint9 X:0.291207, Y:0.047404, Z:1.533290
Joint10 X:0.323465, Y:-0.133187, Z:1.524402
Joint11 X:0.309748, Y:-0.208840, Z:1.511279
Joint12 X:-0.069717, Y:-0.256999, Z:1.361990
Joint13 X:-0.070170, Y:-0.577058, Z:1.335471
Joint14 X:-0.048973, Y:-0.944009, Z:1.349230
Joint15 X:-0.049233, Y:-0.972263, Z:1.231659
Joint16 X:0.067529, Y:-0.254605, Z:1.356683
Joint17 X:0.085986, Y:-0.578702, Z:1.340371
Joint18 X:0.091810, Y:-0.941548, Z:1.344757
Joint19 X:0.086296, Y:-0.967463, Z:1.226093
Joint20 X:-0.009084, Y:0.272259, Z:1.448247
Joint21 X:-0.336687, Y:-0.258132, Z:1.494128
Joint22 X:-0.378676, Y:-0.190726, Z:1.491118
Joint23 X:0.296614, Y:-0.274750, Z:1.522755
Joint24 X:0.337711, Y:-0.175128, Z:1.504000
Joint0 X:-0.002851, Y:-0.261859, Z:1.394027
Joint1 X:-0.008247, Y:0.048193, Z:1.425088
Joint2 X:-0.013895, Y:0.342595, Z:1.437301
Joint3 X:-0.033484, Y:0.494833, Z:1.407546
Joint4 X:-0.195265, Y:0.231796, Z:1.466921
Joint5 X:-0.324884, Y:0.044413, Z:1.512116
Joint6 X:-0.348060, Y:-0.137633, Z:1.503986
Joint7 X:-0.347513, Y:-0.197503, Z:1.496914
Joint8 X:0.153915, Y:0.236932, Z:1.445494
Joint9 X:0.286844, Y:0.050466, Z:1.525567
Joint10 X:0.318744, Y:-0.130081, Z:1.521903
Joint11 X:0.307299, Y:-0.201888, Z:1.515453
Joint12 X:-0.071646, Y:-0.256899, Z:1.363556
Joint13 X:-0.072392, Y:-0.576055, Z:1.335064
Joint14 X:-0.048714, Y:-0.943995, Z:1.350756
Joint15 X:-0.050071, Y:-0.972734, Z:1.233444
Joint16 X:0.065921, Y:-0.254143, Z:1.357305
Joint17 X:0.084735, Y:-0.578511, Z:1.340307
Joint18 X:0.091672, Y:-0.941402, Z:1.344893
Joint19 X:0.084910, Y:-0.967454, Z:1.226352
Joint20 X:-0.012632, Y:0.270978, Z:1.436644
Joint21 X:-0.334610, Y:-0.263708, Z:1.493876
Joint22 X:-0.374257, Y:-0.195214, Z:1.482225
Joint23 X:0.292619, Y:-0.270024, Z:1.517869
Joint24 X:0.295612, Y:-0.181827, Z:1.545346
Joint0 X:-0.003845, Y:-0.261921, Z:1.394564
Joint1 X:-0.009737, Y:0.047955, Z:1.420410
Joint2 X:-0.015064, Y:0.342805, Z:1.426990
Joint3 X:-0.035527, Y:0.494970, Z:1.394812
Joint4 X:-0.195786, Y:0.231914, Z:1.461941
Joint5 X:-0.323911, Y:0.044165, Z:1.509047
Joint6 X:-0.347940, Y:-0.137728, Z:1.502435
Joint7 X:-0.345557, Y:-0.210091, Z:1.495919
Joint8 X:0.152573, Y:0.237759, Z:1.436248
Joint9 X:0.285134, Y:0.050299, Z:1.520119
Joint10 X:0.318051, Y:-0.129822, Z:1.520685
Joint11 X:0.314507, Y:-0.210234, Z:1.511181
Joint12 X:-0.072827, Y:-0.257363, Z:1.364904
Joint13 X:-0.073249, Y:-0.575368, Z:1.335627
Joint14 X:-0.048028, Y:-0.944689, Z:1.350921
Joint15 X:-0.050463, Y:-0.973400, Z:1.233637
Joint16 X:0.065106, Y:-0.253931, Z:1.357251
Joint17 X:0.084287, Y:-0.577839, Z:1.340787
Joint18 X:0.091804, Y:-0.941453, Z:1.344263
Joint19 X:0.083891, Y:-0.967395, Z:1.225744
Joint20 X:-0.013854, Y:0.271035, Z:1.427647
Joint21 X:-0.330868, Y:-0.280492, Z:1.498046
Joint22 X:-0.372230, Y:-0.179637, Z:1.473244
Joint23 X:0.303553, Y:-0.271639, Z:1.521861
Joint24 X:0.288830, Y:-0.201679, Z:1.526333
Joint0 X:-0.003996, Y:-0.262337, Z:1.395437
Joint1 X:-0.010184, Y:0.047750, Z:1.418997
Joint2 X:-0.016066, Y:0.343025, Z:1.424086
Joint3 X:-0.036355, Y:0.495261, Z:1.392123
Joint4 X:-0.196516, Y:0.232085, Z:1.458885
Joint5 X:-0.329293, Y:0.043081, Z:1.505364
